Date,Product_ID,Historical_Price,Competitor_Price,Demand,Day_of_Week,Season,Promotions,Holiday
2023-11-09,1000,37.72,44.18,193,7,Summer,Yes,No
2023-08-01,1000,48.61,37.39,149,3,Winter,No,Yes
2023-04-09,1000,56.41,44.49,103,7,Winter,No,No
2023-06-26,1000,34.14,36.08,176,3,Fall,No,No
2023-08-27,1000,35.64,41.74,111,4,Summer,Yes,Yes
2023-07-19,1000,46.46,35.96,167,3,Winter,Yes,No
2023-10-12,1000,34.82,35.24,136,2,Spring,No,Yes
2023-02-28,1000,35.03,36.78,56,4,Fall,No,Yes
2023-10-08,1000,34.68,36.86,196,2,Fall,Yes,No
2023-04-17,1000,53.12,40.94,183,7,Winter,Yes,Yes
2023-04-24,1000,49.07,38.27,111,2,Winter,No,No
2023-08-12,1000,33.64,39.61,154,2,Summer,No,Yes
2023-12-23,1000,32.47,37.68,56,7,Summer,Yes,Yes
2023-07-04,1000,37.47,39.8,59,3,Fall,Yes,Yes
2023-02-06,1000,34.99,36.65,178,4,Fall,No,Yes
2023-07-23,1000,43.33,43.65,83,6,Spring,No,Yes
2023-11-07,1000,36.51,36.17,169,2,Spring,No,Yes
2023-09-25,1000,31.91,37.28,93,3,Summer,Yes,Yes
2023-08-26,1000,34.73,34.75,88,6,Spring,Yes,Yes
2023-06-29,1000,55.68,43.12,66,2,Winter,No,Yes
2023-04-13,1000,35.88,35.46,166,5,Spring,No,Yes
2023-10-27,1000,40.77,42.82,79,7,Fall,No,Yes
2023-06-27,1000,35.25,37.46,117,5,Fall,Yes,Yes
2023-02-26,1000,54.22,42.02,124,4,Winter,Yes,No
2023-06-09,1000,38.87,39.33,163,3,Spring,No,Yes
2023-09-07,1000,37.25,36.88,80,7,Spring,Yes,No
2023-07-15,1000,41.72,44.17,138,4,Fall,Yes,No
2023-03-20,1000,47.23,36.23,105,3,Winter,No,Yes
2023-11-19,1000,34.83,35.18,164,4,Spring,No,No
2023-07-23,1000,41.23,43.06,106,4,Fall,No,No
2023-05-31,1000,35.63,35.22,77,1,Spring,Yes,No
2023-06-06,1000,36.92,39.26,59,5,Fall,No,No
2023-07-16,1000,38.09,40.54,179,2,Fall,Yes,No
2023-06-26,1000,41.03,40.91,57,1,Spring,Yes,Yes
2023-10-10,1000,38.59,38.71,165,5,Spring,Yes,Yes
2023-08-12,1000,46.55,35.85,127,3,Winter,Yes,No
2023-01-10,1000,47.05,36.28,146,7,Winter,No,No
2023-03-15,1000,44.88,34.71,107,7,Winter,No,No
2023-04-12,1000,38.95,40.55,103,6,Fall,Yes,No
2023-02-27,1000,36.77,43.25,62,2,Summer,No,Yes
2023-10-21,1000,34.09,36.35,63,7,Fall,No,Yes
2023-07-23,1000,37.26,39.38,110,2,Fall,Yes,Yes
2023-10-28,1000,41.21,43.31,81,6,Fall,Yes,Yes
2023-03-19,1000,42.72,42.33,60,3,Spring,No,No
2023-10-16,1000,49.06,38.25,156,4,Winter,Yes,No
2023-09-27,1000,35.37,41.05,129,7,Summer,No,No
2023-01-18,1000,37.66,37.76,92,1,Spring,No,Yes
2023-01-03,1000,36.96,38.86,118,2,Fall,Yes,Yes
